timestamp,volume
2024-01-15 09:00:00,12500
2024-01-15 09:01:00,13200
2024-01-15 09:02:00,11800
2024-01-15 09:03:00,12900
2024-01-15 09:04:00,14100
2024-01-15 09:05:00,11500
2024-01-15 09:06:00,13800
2024-01-15 09:07:00,12100
2024-01-15 09:08:00,65000
2024-01-15 09:09:00,12700
2024-01-15 09:10:00,11900
2024-01-15 09:11:00,13600
2024-01-15 09:12:00,12300
2024-01-15 09:13:00,14100
2024-01-15 09:14:00,12800
2024-01-15 09:15:00,13000
2024-01-15 09:16:00,950000
2024-01-15 09:17:00,12600
2024-01-15 09:18:00,13400
2024-01-15 09:19:00,12200
2024-01-15 09:20:00,14000
2024-01-15 09:21:00,11600
2024-01-15 09:22:00,13200
2024-01-15 09:23:00,12500
2024-01-15 09:24:00,2500000
2024-01-15 09:25:00,12800
